onset	duration	sample	type	value
0	n/a	1	STATUS	61440
0	n/a	1	Epoch	n/a
0	n/a	1	CM_in_range	n/a
0.234375	n/a	121	STATUS	61694
1.734375	n/a	889	STATUS	61450
3.234375	n/a	1657	STATUS	61463
3.6015625	n/a	1845	STATUS	61471
3.876953125	n/a	1986	STATUS	61472
4.609375	n/a	2361	STATUS	61480
5.6171875	n/a	2877	STATUS	61490
7.1171875	n/a	3645	STATUS	61501
7.884765625	n/a	4038	STATUS	61510
8.134765625	n/a	4166	STATUS	61450
9.634765625	n/a	4934	STATUS	61463
10.001953125	n/a	5122	STATUS	61471
10.27734375	n/a	5263	STATUS	61472
11.009765625	n/a	5638	STATUS	61480
12.017578125	n/a	6154	STATUS	61490
13.310546875	n/a	6816	STATUS	61500
14.02734375	n/a	7183	STATUS	61510
14.27734375	n/a	7311	STATUS	61450
15.77734375	n/a	8079	STATUS	61463
16.14453125	n/a	8267	STATUS	61471
16.41796875	n/a	8407	STATUS	61472
17.15234375	n/a	8783	STATUS	61480
18.16015625	n/a	9299	STATUS	61490
19.578125	n/a	10025	STATUS	61501
20.361328125	n/a	10426	STATUS	61510
20.611328125	n/a	10554	STATUS	61450
22.111328125	n/a	11322	STATUS	61463
22.478515625	n/a	11510	STATUS	61471
22.751953125	n/a	11650	STATUS	61472
23.486328125	n/a	12026	STATUS	61480
24.494140625	n/a	12542	STATUS	61490
25.626953125	n/a	13122	STATUS	61501
26.38671875	n/a	13511	STATUS	61510
26.63671875	n/a	13639	STATUS	61450
28.13671875	n/a	14407	STATUS	61468
28.50390625	n/a	14595	STATUS	61471
29.236328125	n/a	14970	STATUS	61472
29.51171875	n/a	15111	STATUS	61480
30.51953125	n/a	15627	STATUS	61490
31.63671875	n/a	16199	STATUS	61501
32.486328125	n/a	16634	STATUS	61511
32.736328125	n/a	16762	STATUS	61450
34.236328125	n/a	17530	STATUS	61468
34.603515625	n/a	17718	STATUS	61471
35.3359375	n/a	18093	STATUS	61472
35.611328125	n/a	18234	STATUS	61480
36.62109375	n/a	18751	STATUS	61490
37.603515625	n/a	19254	STATUS	61501
38.294921875	n/a	19608	STATUS	61511
38.544921875	n/a	19736	STATUS	61450
40.044921875	n/a	20504	STATUS	61463
40.412109375	n/a	20692	STATUS	61471
40.6875	n/a	20833	STATUS	61472
41.419921875	n/a	21208	STATUS	61480
42.4296875	n/a	21725	STATUS	61490
43.5546875	n/a	22301	STATUS	61501
44.205078125	n/a	22634	STATUS	61510
44.455078125	n/a	22762	STATUS	61450
45.955078125	n/a	23530	STATUS	61468
46.3203125	n/a	23717	STATUS	61471
47.0546875	n/a	24093	STATUS	61472
47.330078125	n/a	24234	STATUS	61480
48.337890625	n/a	24750	STATUS	61490
49.546875	n/a	25369	STATUS	61501
50.205078125	n/a	25706	STATUS	61511
50.455078125	n/a	25834	STATUS	61450
51.955078125	n/a	26602	STATUS	61468
52.322265625	n/a	26790	STATUS	61471
53.0546875	n/a	27165	STATUS	61472
53.330078125	n/a	27306	STATUS	61480
54.337890625	n/a	27822	STATUS	61490
55.23046875	n/a	28279	STATUS	61501
55.779296875	n/a	28560	STATUS	61511
56.029296875	n/a	28688	STATUS	61450
57.529296875	n/a	29456	STATUS	61463
57.896484375	n/a	29644	STATUS	61471
58.171875	n/a	29785	STATUS	61472
58.90625	n/a	30161	STATUS	61480
59.9140625	n/a	30677	STATUS	61490
61.013671875	n/a	31240	STATUS	61501
61.564453125	n/a	31522	STATUS	61510
61.814453125	n/a	31650	STATUS	61450
63.314453125	n/a	32418	STATUS	61463
63.681640625	n/a	32606	STATUS	61471
63.955078125	n/a	32746	STATUS	61472
64.689453125	n/a	33122	STATUS	61480
65.697265625	n/a	33638	STATUS	61490
66.947265625	n/a	34278	STATUS	61501
67.580078125	n/a	34602	STATUS	61510
67.830078125	n/a	34730	STATUS	61450
69.33203125	n/a	35499	STATUS	61468
69.697265625	n/a	35686	STATUS	61471
70.431640625	n/a	36062	STATUS	61472
70.70703125	n/a	36203	STATUS	61480
71.71484375	n/a	36719	STATUS	61490
72.85546875	n/a	37303	STATUS	61500
73.439453125	n/a	37602	STATUS	61510
73.689453125	n/a	37730	STATUS	61450
75.189453125	n/a	38498	STATUS	61463
75.556640625	n/a	38686	STATUS	61471
75.83203125	n/a	38827	STATUS	61472
76.564453125	n/a	39202	STATUS	61480
77.57421875	n/a	39719	STATUS	61490
78.689453125	n/a	40290	STATUS	61500
79.373046875	n/a	40640	STATUS	61510
79.623046875	n/a	40768	STATUS	61450
81.123046875	n/a	41536	STATUS	61463
81.490234375	n/a	41724	STATUS	61471
81.765625	n/a	41865	STATUS	61472
82.498046875	n/a	42240	STATUS	61480
83.5078125	n/a	42757	STATUS	61490
85.0234375	n/a	43533	STATUS	61501
85.58984375	n/a	43823	STATUS	61510
85.83984375	n/a	43951	STATUS	61450
87.341796875	n/a	44720	STATUS	61463
87.70703125	n/a	44907	STATUS	61471
87.982421875	n/a	45048	STATUS	61472
88.716796875	n/a	45424	STATUS	61480
89.724609375	n/a	45940	STATUS	61490
90.216796875	n/a	46192	STATUS	61501
91.291015625	n/a	46742	STATUS	61511
91.541015625	n/a	46870	STATUS	61450
93.041015625	n/a	47638	STATUS	61463
93.408203125	n/a	47826	STATUS	61471
93.68359375	n/a	47967	STATUS	61472
94.416015625	n/a	48342	STATUS	61480
95.42578125	n/a	48859	STATUS	61490
96.5	n/a	49409	STATUS	61501
97.42578125	n/a	49883	STATUS	61510
97.67578125	n/a	50011	STATUS	61450
99.17578125	n/a	50779	STATUS	61463
99.541015625	n/a	50966	STATUS	61471
99.81640625	n/a	51107	STATUS	61472
100.55078125	n/a	51483	STATUS	61480
101.55859375	n/a	51999	STATUS	61490
102.458984375	n/a	52460	STATUS	61500
103.234375	n/a	52857	STATUS	61511
103.484375	n/a	52985	STATUS	61450
104.984375	n/a	53753	STATUS	61463
105.3515625	n/a	53941	STATUS	61471
105.625	n/a	54081	STATUS	61472
106.359375	n/a	54457	STATUS	61480
107.3671875	n/a	54973	STATUS	61490
108.568359375	n/a	55588	STATUS	61501
109.193359375	n/a	55908	STATUS	61511
109.443359375	n/a	56036	STATUS	61450
110.943359375	n/a	56804	STATUS	61463
111.30859375	n/a	56991	STATUS	61471
111.583984375	n/a	57132	STATUS	61472
112.318359375	n/a	57508	STATUS	61480
113.326171875	n/a	58024	STATUS	61490
114.359375	n/a	58553	STATUS	61500
114.884765625	n/a	58822	STATUS	61511
115.134765625	n/a	58950	STATUS	61450
116.634765625	n/a	59718	STATUS	61463
117.001953125	n/a	59906	STATUS	61471
117.27734375	n/a	60047	STATUS	61472
118.009765625	n/a	60422	STATUS	61480
119.017578125	n/a	60938	STATUS	61490
120.392578125	n/a	61642	STATUS	61501
120.994140625	n/a	61950	STATUS	61510
121.244140625	n/a	62078	STATUS	61450
122.744140625	n/a	62846	STATUS	61468
123.109375	n/a	63033	STATUS	61471
123.84375	n/a	63409	STATUS	61472
124.119140625	n/a	63550	STATUS	61480
125.126953125	n/a	64066	STATUS	61490
126.14453125	n/a	64587	STATUS	61501
126.71875	n/a	64881	STATUS	61510
126.96875	n/a	65009	STATUS	61450
128.46875	n/a	65777	STATUS	61463
128.8359375	n/a	65965	STATUS	61471
129.111328125	n/a	66106	STATUS	61472
129.84375	n/a	66481	STATUS	61480
130.853515625	n/a	66998	STATUS	61490
132.060546875	n/a	67616	STATUS	61501
132.927734375	n/a	68060	STATUS	61510
133.177734375	n/a	68188	STATUS	61450
134.677734375	n/a	68956	STATUS	61468
135.044921875	n/a	69144	STATUS	61471
135.77734375	n/a	69519	STATUS	61472
136.052734375	n/a	69660	STATUS	61480
137.060546875	n/a	70176	STATUS	61490
138.203125	n/a	70761	STATUS	61501
138.728515625	n/a	71030	STATUS	61511
138.978515625	n/a	71158	STATUS	61450
140.478515625	n/a	71926	STATUS	61463
140.845703125	n/a	72114	STATUS	61471
141.119140625	n/a	72254	STATUS	61472
141.853515625	n/a	72630	STATUS	61480
142.861328125	n/a	73146	STATUS	61490
143.87890625	n/a	73667	STATUS	61501
144.4453125	n/a	73957	STATUS	61511
144.6953125	n/a	74085	STATUS	61450
146.1953125	n/a	74853	STATUS	61463
146.5625	n/a	75041	STATUS	61471
146.837890625	n/a	75182	STATUS	61472
147.5703125	n/a	75557	STATUS	61480
148.578125	n/a	76073	STATUS	61490
149.62890625	n/a	76611	STATUS	61501
150.337890625	n/a	76974	STATUS	61510
150.587890625	n/a	77102	STATUS	61450
152.087890625	n/a	77870	STATUS	61463
152.455078125	n/a	78058	STATUS	61471
152.728515625	n/a	78198	STATUS	61472
153.462890625	n/a	78574	STATUS	61480
154.470703125	n/a	79090	STATUS	61490
155.521484375	n/a	79628	STATUS	61500
156.013671875	n/a	79880	STATUS	61510
156.263671875	n/a	80008	STATUS	61450
157.763671875	n/a	80776	STATUS	61463
158.12890625	n/a	80963	STATUS	61471
158.404296875	n/a	81104	STATUS	61472
159.138671875	n/a	81480	STATUS	61480
160.146484375	n/a	81996	STATUS	61490
161.421875	n/a	82649	STATUS	61501
162.087890625	n/a	82990	STATUS	61510
162.337890625	n/a	83118	STATUS	61450
163.837890625	n/a	83886	STATUS	61468
164.205078125	n/a	84074	STATUS	61471
164.939453125	n/a	84450	STATUS	61472
165.212890625	n/a	84590	STATUS	61480
166.22265625	n/a	85107	STATUS	61490
167.40625	n/a	85713	STATUS	61501
167.9296875	n/a	85981	STATUS	61511
168.1796875	n/a	86109	STATUS	61450
169.6796875	n/a	86877	STATUS	61463
170.046875	n/a	87065	STATUS	61471
170.322265625	n/a	87206	STATUS	61472
171.0546875	n/a	87581	STATUS	61480
172.064453125	n/a	88098	STATUS	61490
173.34765625	n/a	88755	STATUS	61500
173.78125	n/a	88977	STATUS	61510
174.03125	n/a	89105	STATUS	61450
175.53125	n/a	89873	STATUS	61468
175.8984375	n/a	90061	STATUS	61471
176.630859375	n/a	90436	STATUS	61472
