onset	duration	sample	type	value
0	n/a	1	STATUS	61440
0	n/a	1	Epoch	n/a
0	n/a	1	CM_in_range	n/a
0.212890625	n/a	110	STATUS	61694
1.712890625	n/a	878	STATUS	61450
3.212890625	n/a	1646	STATUS	61463
3.580078125	n/a	1834	STATUS	61471
3.85546875	n/a	1975	STATUS	61472
4.587890625	n/a	2350	STATUS	61480
5.59765625	n/a	2867	STATUS	61490
7.22265625	n/a	3699	STATUS	61501
9.1796875	n/a	4701	STATUS	61510
9.4296875	n/a	4829	STATUS	61450
10.9296875	n/a	5597	STATUS	61463
11.296875	n/a	5785	STATUS	61471
11.572265625	n/a	5926	STATUS	61472
12.3046875	n/a	6301	STATUS	61480
13.314453125	n/a	6818	STATUS	61490
15.48828125	n/a	7931	STATUS	61501
16.6640625	n/a	8533	STATUS	61510
16.9140625	n/a	8661	STATUS	61450
18.4140625	n/a	9429	STATUS	61468
18.78125	n/a	9617	STATUS	61471
19.513671875	n/a	9992	STATUS	61472
19.7890625	n/a	10133	STATUS	61480
20.798828125	n/a	10650	STATUS	61490
22.439453125	n/a	11490	STATUS	61501
23.623046875	n/a	12096	STATUS	61511
23.873046875	n/a	12224	STATUS	61450
25.373046875	n/a	12992	STATUS	61468
25.740234375	n/a	13180	STATUS	61471
26.47265625	n/a	13555	STATUS	61472
26.748046875	n/a	13696	STATUS	61480
27.755859375	n/a	14212	STATUS	61490
29.46484375	n/a	15087	STATUS	61501
30.490234375	n/a	15612	STATUS	61510
30.740234375	n/a	15740	STATUS	61450
32.240234375	n/a	16508	STATUS	61468
32.607421875	n/a	16696	STATUS	61471
33.33984375	n/a	17071	STATUS	61472
33.615234375	n/a	17212	STATUS	61480
34.623046875	n/a	17728	STATUS	61490
36.0234375	n/a	18445	STATUS	61501
37.181640625	n/a	19038	STATUS	61510
37.431640625	n/a	19166	STATUS	61450
38.93359375	n/a	19935	STATUS	61463
39.298828125	n/a	20122	STATUS	61471
39.57421875	n/a	20263	STATUS	61472
40.30859375	n/a	20639	STATUS	61480
41.31640625	n/a	21155	STATUS	61490
42.8671875	n/a	21949	STATUS	61501
44.083984375	n/a	22572	STATUS	61511
44.333984375	n/a	22700	STATUS	61450
45.833984375	n/a	23468	STATUS	61468
46.19921875	n/a	23655	STATUS	61471
46.93359375	n/a	24031	STATUS	61472
47.208984375	n/a	24172	STATUS	61480
48.216796875	n/a	24688	STATUS	61490
49.958984375	n/a	25580	STATUS	61500
51.166015625	n/a	26198	STATUS	61510
51.416015625	n/a	26326	STATUS	61450
52.91796875	n/a	27095	STATUS	61468
53.283203125	n/a	27282	STATUS	61471
54.017578125	n/a	27658	STATUS	61472
54.29296875	n/a	27799	STATUS	61480
55.30078125	n/a	28315	STATUS	61490
57.1015625	n/a	29237	STATUS	61501
58.17578125	n/a	29787	STATUS	61511
58.42578125	n/a	29915	STATUS	61450
59.92578125	n/a	30683	STATUS	61463
60.29296875	n/a	30871	STATUS	61471
60.568359375	n/a	31012	STATUS	61472
61.30078125	n/a	31387	STATUS	61480
62.30859375	n/a	31903	STATUS	61490
63.91796875	n/a	32727	STATUS	61501
64.900390625	n/a	33230	STATUS	61510
65.150390625	n/a	33358	STATUS	61450
66.65234375	n/a	34127	STATUS	61468
67.017578125	n/a	34314	STATUS	61471
67.751953125	n/a	34690	STATUS	61472
68.02734375	n/a	34831	STATUS	61480
69.03515625	n/a	35347	STATUS	61490
70.494140625	n/a	36094	STATUS	61501
71.326171875	n/a	36520	STATUS	61511
71.576171875	n/a	36648	STATUS	61450
73.076171875	n/a	37416	STATUS	61468
73.443359375	n/a	37604	STATUS	61471
74.177734375	n/a	37980	STATUS	61472
74.451171875	n/a	38120	STATUS	61480
75.4609375	n/a	38637	STATUS	61490
77.5859375	n/a	39725	STATUS	61500
78.759765625	n/a	40326	STATUS	61510
79.009765625	n/a	40454	STATUS	61450
80.51171875	n/a	41223	STATUS	61463
80.876953125	n/a	41410	STATUS	61471
81.15234375	n/a	41551	STATUS	61472
81.88671875	n/a	41927	STATUS	61480
82.89453125	n/a	42443	STATUS	61490
84.603515625	n/a	43318	STATUS	61501
85.912109375	n/a	43988	STATUS	61510
86.162109375	n/a	44116	STATUS	61450
87.662109375	n/a	44884	STATUS	61463
88.02734375	n/a	45071	STATUS	61471
88.302734375	n/a	45212	STATUS	61472
89.037109375	n/a	45588	STATUS	61480
90.044921875	n/a	46104	STATUS	61490
91.287109375	n/a	46740	STATUS	61501
92.427734375	n/a	47324	STATUS	61511
92.677734375	n/a	47452	STATUS	61450
94.177734375	n/a	48220	STATUS	61463
94.544921875	n/a	48408	STATUS	61471
94.8203125	n/a	48549	STATUS	61472
95.552734375	n/a	48924	STATUS	61480
96.5625	n/a	49441	STATUS	61490
98.169921875	n/a	50264	STATUS	61501
99.087890625	n/a	50734	STATUS	61510
99.337890625	n/a	50862	STATUS	61450
100.837890625	n/a	51630	STATUS	61463
101.205078125	n/a	51818	STATUS	61471
101.478515625	n/a	51958	STATUS	61472
102.212890625	n/a	52334	STATUS	61480
103.220703125	n/a	52850	STATUS	61490
104.49609375	n/a	53503	STATUS	61501
105.455078125	n/a	53994	STATUS	61511
105.705078125	n/a	54122	STATUS	61450
107.205078125	n/a	54890	STATUS	61468
107.5703125	n/a	55077	STATUS	61471
108.3046875	n/a	55453	STATUS	61472
108.580078125	n/a	55594	STATUS	61480
109.587890625	n/a	56110	STATUS	61490
112.212890625	n/a	57454	STATUS	61501
113.23046875	n/a	57975	STATUS	61511
113.48046875	n/a	58103	STATUS	61450
114.98046875	n/a	58871	STATUS	61463
115.34765625	n/a	59059	STATUS	61471
115.62109375	n/a	59199	STATUS	61472
116.35546875	n/a	59575	STATUS	61480
117.36328125	n/a	60091	STATUS	61490
119.5390625	n/a	61205	STATUS	61500
120.447265625	n/a	61670	STATUS	61510
120.697265625	n/a	61798	STATUS	61450
122.197265625	n/a	62566	STATUS	61463
122.564453125	n/a	62754	STATUS	61471
122.83984375	n/a	62895	STATUS	61472
123.572265625	n/a	63270	STATUS	61480
124.580078125	n/a	63786	STATUS	61490
125.796875	n/a	64409	STATUS	61501
127.056640625	n/a	65054	STATUS	61510
127.306640625	n/a	65182	STATUS	61450
128.806640625	n/a	65950	STATUS	61463
129.173828125	n/a	66138	STATUS	61471
129.447265625	n/a	66278	STATUS	61472
130.181640625	n/a	66654	STATUS	61480
131.189453125	n/a	67170	STATUS	61490
132.97265625	n/a	68083	STATUS	61501
134.015625	n/a	68617	STATUS	61510
134.265625	n/a	68745	STATUS	61450
135.765625	n/a	69513	STATUS	61463
136.130859375	n/a	69700	STATUS	61471
136.40625	n/a	69841	STATUS	61472
137.140625	n/a	70217	STATUS	61480
138.1484375	n/a	70733	STATUS	61490
139.70703125	n/a	71531	STATUS	61501
140.6328125	n/a	72005	STATUS	61510
140.8828125	n/a	72133	STATUS	61450
142.3828125	n/a	72901	STATUS	61468
142.748046875	n/a	73088	STATUS	61471
143.482421875	n/a	73464	STATUS	61472
143.7578125	n/a	73605	STATUS	61480
144.765625	n/a	74121	STATUS	61490
146.099609375	n/a	74804	STATUS	61501
146.95703125	n/a	75243	STATUS	61510
147.20703125	n/a	75371	STATUS	61450
148.70703125	n/a	76139	STATUS	61463
149.07421875	n/a	76327	STATUS	61471
149.349609375	n/a	76468	STATUS	61472
150.08203125	n/a	76843	STATUS	61480
151.091796875	n/a	77360	STATUS	61490
152.541015625	n/a	78102	STATUS	61501
153.5078125	n/a	78597	STATUS	61510
153.7578125	n/a	78725	STATUS	61450
155.2578125	n/a	79493	STATUS	61463
155.625	n/a	79681	STATUS	61471
155.900390625	n/a	79822	STATUS	61472
156.6328125	n/a	80197	STATUS	61480
157.642578125	n/a	80714	STATUS	61490
159.724609375	n/a	81780	STATUS	61500
160.7421875	n/a	82301	STATUS	61510
160.9921875	n/a	82429	STATUS	61450
162.4921875	n/a	83197	STATUS	61463
162.859375	n/a	83385	STATUS	61471
163.134765625	n/a	83526	STATUS	61472
163.8671875	n/a	83901	STATUS	61480
164.875	n/a	84417	STATUS	61490
167.04296875	n/a	85527	STATUS	61501
167.8515625	n/a	85941	STATUS	61510
168.1015625	n/a	86069	STATUS	61450
169.6015625	n/a	86837	STATUS	61468
169.966796875	n/a	87024	STATUS	61471
170.701171875	n/a	87400	STATUS	61472
170.9765625	n/a	87541	STATUS	61480
171.984375	n/a	88057	STATUS	61490
173.96875	n/a	89073	STATUS	61500
175.310546875	n/a	89760	STATUS	61511
175.560546875	n/a	89888	STATUS	61450
177.060546875	n/a	90656	STATUS	61463
177.42578125	n/a	90843	STATUS	61471
177.701171875	n/a	90984	STATUS	61472
178.435546875	n/a	91360	STATUS	61480
179.443359375	n/a	91876	STATUS	61490
181.451171875	n/a	92904	STATUS	61501
182.302734375	n/a	93340	STATUS	61511
182.552734375	n/a	93468	STATUS	61450
184.052734375	n/a	94236	STATUS	61463
184.41796875	n/a	94423	STATUS	61471
184.693359375	n/a	94564	STATUS	61472
185.427734375	n/a	94940	STATUS	61480
186.435546875	n/a	95456	STATUS	61490
188.728515625	n/a	96630	STATUS	61501
190.27734375	n/a	97423	STATUS	61510
190.52734375	n/a	97551	STATUS	61450
192.02734375	n/a	98319	STATUS	61463
192.39453125	n/a	98507	STATUS	61471
192.669921875	n/a	98648	STATUS	61472
193.40234375	n/a	99023	STATUS	61480
194.412109375	n/a	99540	STATUS	61490
195.794921875	n/a	100248	STATUS	61501
196.685546875	n/a	100704	STATUS	61510
196.935546875	n/a	100832	STATUS	61450
198.4375	n/a	101601	STATUS	61463
198.802734375	n/a	101788	STATUS	61471
199.078125	n/a	101929	STATUS	61472
199.8125	n/a	102305	STATUS	61480
200.8203125	n/a	102821	STATUS	61490
202.904296875	n/a	103888	STATUS	61501
203.845703125	n/a	104370	STATUS	61510
204.095703125	n/a	104498	STATUS	61450
205.595703125	n/a	105266	STATUS	61463
205.962890625	n/a	105454	STATUS	61471
