onset	duration	sample	type	value
0	n/a	1	STATUS	61440
0	n/a	1	Epoch	n/a
0	n/a	1	CM_in_range	n/a
279.65234375	n/a	143183	STATUS	61694
281.15234375	n/a	143951	STATUS	61450
282.65234375	n/a	144719	STATUS	61463
283.017578125	n/a	144906	STATUS	61471
283.29296875	n/a	145047	STATUS	61472
284.02734375	n/a	145423	STATUS	61480
285.03515625	n/a	145939	STATUS	61490
286.802734375	n/a	146844	STATUS	61501
287.77734375	n/a	147343	STATUS	61510
288.02734375	n/a	147471	STATUS	61450
289.52734375	n/a	148239	STATUS	61463
289.89453125	n/a	148427	STATUS	61471
290.169921875	n/a	148568	STATUS	61472
290.90234375	n/a	148943	STATUS	61480
291.91015625	n/a	149459	STATUS	61490
293.09375	n/a	150065	STATUS	61501
294.2109375	n/a	150637	STATUS	61510
294.4609375	n/a	150765	STATUS	61450
295.9609375	n/a	151533	STATUS	61468
296.328125	n/a	151721	STATUS	61471
297.060546875	n/a	152096	STATUS	61472
297.3359375	n/a	152237	STATUS	61480
298.34375	n/a	152753	STATUS	61490
299.552734375	n/a	153372	STATUS	61500
300.478515625	n/a	153846	STATUS	61510
300.728515625	n/a	153974	STATUS	61450
302.228515625	n/a	154742	STATUS	61468
302.595703125	n/a	154930	STATUS	61471
303.328125	n/a	155305	STATUS	61472
303.603515625	n/a	155446	STATUS	61480
304.611328125	n/a	155962	STATUS	61490
305.87890625	n/a	156611	STATUS	61501
306.51171875	n/a	156935	STATUS	61511
306.76171875	n/a	157063	STATUS	61450
308.26171875	n/a	157831	STATUS	61468
308.62890625	n/a	158019	STATUS	61471
309.361328125	n/a	158394	STATUS	61472
309.63671875	n/a	158535	STATUS	61480
310.646484375	n/a	159052	STATUS	61490
311.853515625	n/a	159670	STATUS	61500
312.5703125	n/a	160037	STATUS	61510
312.8203125	n/a	160165	STATUS	61450
314.3203125	n/a	160933	STATUS	61463
314.6875	n/a	161121	STATUS	61471
314.962890625	n/a	161262	STATUS	61472
315.6953125	n/a	161637	STATUS	61480
316.705078125	n/a	162154	STATUS	61490
318.087890625	n/a	162862	STATUS	61500
318.75390625	n/a	163203	STATUS	61510
319.00390625	n/a	163331	STATUS	61450
320.50390625	n/a	164099	STATUS	61468
320.87109375	n/a	164287	STATUS	61471
321.60546875	n/a	164663	STATUS	61472
321.87890625	n/a	164803	STATUS	61480
322.888671875	n/a	165320	STATUS	61490
324.404296875	n/a	166096	STATUS	61501
325.154296875	n/a	166480	STATUS	61510
325.404296875	n/a	166608	STATUS	61450
326.904296875	n/a	167376	STATUS	61463
327.271484375	n/a	167564	STATUS	61471
327.546875	n/a	167705	STATUS	61472
328.28125	n/a	168081	STATUS	61480
329.2890625	n/a	168597	STATUS	61490
331.10546875	n/a	169527	STATUS	61500
331.72265625	n/a	169843	STATUS	61510
331.97265625	n/a	169971	STATUS	61450
333.47265625	n/a	170739	STATUS	61463
333.83984375	n/a	170927	STATUS	61471
334.11328125	n/a	171067	STATUS	61472
334.84765625	n/a	171443	STATUS	61480
335.85546875	n/a	171959	STATUS	61490
337.330078125	n/a	172714	STATUS	61501
338.15625	n/a	173137	STATUS	61510
338.40625	n/a	173265	STATUS	61450
339.90625	n/a	174033	STATUS	61463
340.2734375	n/a	174221	STATUS	61471
340.548828125	n/a	174362	STATUS	61472
341.28125	n/a	174737	STATUS	61480
342.2890625	n/a	175253	STATUS	61490
343.572265625	n/a	175910	STATUS	61501
344.298828125	n/a	176282	STATUS	61510
344.548828125	n/a	176410	STATUS	61450
346.048828125	n/a	177178	STATUS	61468
346.4140625	n/a	177365	STATUS	61471
347.1484375	n/a	177741	STATUS	61472
347.423828125	n/a	177882	STATUS	61480
348.431640625	n/a	178398	STATUS	61490
349.673828125	n/a	179034	STATUS	61501
350.314453125	n/a	179362	STATUS	61511
350.564453125	n/a	179490	STATUS	61450
352.06640625	n/a	180259	STATUS	61463
352.431640625	n/a	180446	STATUS	61471
352.70703125	n/a	180587	STATUS	61472
353.44140625	n/a	180963	STATUS	61480
354.44921875	n/a	181479	STATUS	61490
355.58984375	n/a	182063	STATUS	61501
356.3984375	n/a	182477	STATUS	61510
356.6484375	n/a	182605	STATUS	61450
358.1484375	n/a	183373	STATUS	61463
358.515625	n/a	183561	STATUS	61471
358.791015625	n/a	183702	STATUS	61472
359.5234375	n/a	184077	STATUS	61480
360.533203125	n/a	184594	STATUS	61490
361.791015625	n/a	185238	STATUS	61501
362.3828125	n/a	185541	STATUS	61510
362.6328125	n/a	185669	STATUS	61450
364.1328125	n/a	186437	STATUS	61463
364.5	n/a	186625	STATUS	61471
364.775390625	n/a	186766	STATUS	61472
365.5078125	n/a	187141	STATUS	61480
366.515625	n/a	187657	STATUS	61490
367.875	n/a	188353	STATUS	61500
368.68359375	n/a	188767	STATUS	61511
368.93359375	n/a	188895	STATUS	61450
370.43359375	n/a	189663	STATUS	61468
370.80078125	n/a	189851	STATUS	61471
371.533203125	n/a	190226	STATUS	61472
371.80859375	n/a	190367	STATUS	61480
372.81640625	n/a	190883	STATUS	61490
374.17578125	n/a	191579	STATUS	61501
374.884765625	n/a	191942	STATUS	61511
375.134765625	n/a	192070	STATUS	61450
376.634765625	n/a	192838	STATUS	61463
377	n/a	193025	STATUS	61471
377.275390625	n/a	193166	STATUS	61472
378.009765625	n/a	193542	STATUS	61480
379.017578125	n/a	194058	STATUS	61490
380.142578125	n/a	194634	STATUS	61501
380.8515625	n/a	194997	STATUS	61511
381.1015625	n/a	195125	STATUS	61450
382.6015625	n/a	195893	STATUS	61463
382.96875	n/a	196081	STATUS	61471
383.2421875	n/a	196221	STATUS	61472
383.9765625	n/a	196597	STATUS	61480
384.984375	n/a	197113	STATUS	61490
386.326171875	n/a	197800	STATUS	61501
386.958984375	n/a	198124	STATUS	61511
387.208984375	n/a	198252	STATUS	61450
388.708984375	n/a	199020	STATUS	61468
389.076171875	n/a	199208	STATUS	61471
389.810546875	n/a	199584	STATUS	61472
390.0859375	n/a	199725	STATUS	61480
391.09375	n/a	200241	STATUS	61490
392.71875	n/a	201073	STATUS	61501
393.3515625	n/a	201397	STATUS	61511
393.6015625	n/a	201525	STATUS	61450
395.1015625	n/a	202293	STATUS	61468
395.46875	n/a	202481	STATUS	61471
396.203125	n/a	202857	STATUS	61472
396.4765625	n/a	202997	STATUS	61480
397.486328125	n/a	203514	STATUS	61490
398.759765625	n/a	204166	STATUS	61500
399.52734375	n/a	204559	STATUS	61510
399.77734375	n/a	204687	STATUS	61450
401.27734375	n/a	205455	STATUS	61463
401.64453125	n/a	205643	STATUS	61471
401.919921875	n/a	205784	STATUS	61472
402.65234375	n/a	206159	STATUS	61480
403.66015625	n/a	206675	STATUS	61490
404.8203125	n/a	207269	STATUS	61501
405.63671875	n/a	207687	STATUS	61511
405.88671875	n/a	207815	STATUS	61450
407.38671875	n/a	208583	STATUS	61463
407.75390625	n/a	208771	STATUS	61471
408.02734375	n/a	208911	STATUS	61472
408.76171875	n/a	209287	STATUS	61480
409.76953125	n/a	209803	STATUS	61490
410.994140625	n/a	210430	STATUS	61501
411.669921875	n/a	210776	STATUS	61510
411.919921875	n/a	210904	STATUS	61450
413.419921875	n/a	211672	STATUS	61463
413.787109375	n/a	211860	STATUS	61471
414.0625	n/a	212001	STATUS	61472
414.794921875	n/a	212376	STATUS	61480
415.802734375	n/a	212892	STATUS	61490
417.037109375	n/a	213524	STATUS	61501
417.587890625	n/a	213806	STATUS	61510
417.837890625	n/a	213934	STATUS	61450
419.337890625	n/a	214702	STATUS	61468
419.703125	n/a	214889	STATUS	61471
420.4375	n/a	215265	STATUS	61472
420.712890625	n/a	215406	STATUS	61480
421.720703125	n/a	215922	STATUS	61490
422.98828125	n/a	216571	STATUS	61501
423.8203125	n/a	216997	STATUS	61511
424.0703125	n/a	217125	STATUS	61450
425.5703125	n/a	217893	STATUS	61463
425.9375	n/a	218081	STATUS	61471
426.212890625	n/a	218222	STATUS	61472
426.9453125	n/a	218597	STATUS	61480
427.955078125	n/a	219114	STATUS	61490
429.521484375	n/a	219916	STATUS	61501
430.49609375	n/a	220415	STATUS	61510
430.74609375	n/a	220543	STATUS	61450
432.24609375	n/a	221311	STATUS	61463
432.61328125	n/a	221499	STATUS	61471
432.888671875	n/a	221640	STATUS	61472
433.62109375	n/a	222015	STATUS	61480
434.630859375	n/a	222532	STATUS	61490
436.396484375	n/a	223436	STATUS	61501
437.49609375	n/a	223999	STATUS	61510
437.74609375	n/a	224127	STATUS	61450
439.248046875	n/a	224896	STATUS	61463
439.61328125	n/a	225083	STATUS	61471
439.888671875	n/a	225224	STATUS	61472
440.623046875	n/a	225600	STATUS	61480
441.630859375	n/a	226116	STATUS	61490
442.98828125	n/a	226811	STATUS	61501
443.755859375	n/a	227204	STATUS	61511
444.005859375	n/a	227332	STATUS	61450
445.505859375	n/a	228100	STATUS	61468
445.873046875	n/a	228288	STATUS	61471
446.60546875	n/a	228663	STATUS	61472
446.880859375	n/a	228804	STATUS	61480
447.888671875	n/a	229320	STATUS	61490
449.115234375	n/a	229948	STATUS	61501
449.806640625	n/a	230302	STATUS	61510
450.056640625	n/a	230430	STATUS	61450
451.556640625	n/a	231198	STATUS	61463
451.923828125	n/a	231386	STATUS	61471
452.197265625	n/a	231526	STATUS	61472
452.931640625	n/a	231902	STATUS	61480
453.939453125	n/a	232418	STATUS	61490
455.44921875	n/a	233191	STATUS	61500
456.041015625	n/a	233494	STATUS	61510
456.291015625	n/a	233622	STATUS	61450
457.791015625	n/a	234390	STATUS	61463
458.15625	n/a	234577	STATUS	61471
458.431640625	n/a	234718	STATUS	61472
459.166015625	n/a	235094	STATUS	61480
460.173828125	n/a	235610	STATUS	61490
461.32421875	n/a	236199	STATUS	61501
461.916015625	n/a	236502	STATUS	61510
462.166015625	n/a	236630	STATUS	61450
463.666015625	n/a	237398	STATUS	61463
464.033203125	n/a	237586	STATUS	61471
464.306640625	n/a	237726	STATUS	61472
