onset	duration	sample	type	value
0	n/a	1	STATUS	61440
0	n/a	1	Epoch	n/a
0	n/a	1	CM_in_range	n/a
0.42578125	n/a	219	STATUS	61694
1.92578125	n/a	987	STATUS	61450
3.42578125	n/a	1755	STATUS	61463
3.79296875	n/a	1943	STATUS	61471
4.068359375	n/a	2084	STATUS	61472
4.80078125	n/a	2459	STATUS	61480
5.80859375	n/a	2975	STATUS	61490
7.41015625	n/a	3795	STATUS	61501
8.251953125	n/a	4226	STATUS	61511
8.501953125	n/a	4354	STATUS	61450
10.001953125	n/a	5122	STATUS	61463
10.3671875	n/a	5309	STATUS	61471
10.642578125	n/a	5450	STATUS	61472
11.376953125	n/a	5826	STATUS	61480
12.384765625	n/a	6342	STATUS	61490
14.0859375	n/a	7213	STATUS	61500
14.92578125	n/a	7643	STATUS	61510
15.177734375	n/a	7772	STATUS	61450
16.677734375	n/a	8540	STATUS	61468
17.04296875	n/a	8727	STATUS	61471
17.77734375	n/a	9103	STATUS	61472
18.052734375	n/a	9244	STATUS	61480
19.060546875	n/a	9760	STATUS	61490
20.427734375	n/a	10460	STATUS	61500
21.177734375	n/a	10844	STATUS	61511
21.427734375	n/a	10972	STATUS	61450
22.927734375	n/a	11740	STATUS	61468
23.294921875	n/a	11928	STATUS	61471
24.02734375	n/a	12303	STATUS	61472
24.302734375	n/a	12444	STATUS	61480
25.310546875	n/a	12960	STATUS	61490
26.39453125	n/a	13515	STATUS	61501
27.13671875	n/a	13895	STATUS	61511
27.38671875	n/a	14023	STATUS	61450
28.88671875	n/a	14791	STATUS	61463
29.251953125	n/a	14978	STATUS	61471
29.52734375	n/a	15119	STATUS	61472
30.26171875	n/a	15495	STATUS	61480
31.26953125	n/a	16011	STATUS	61490
32.703125	n/a	16745	STATUS	61500
33.38671875	n/a	17095	STATUS	61510
33.63671875	n/a	17223	STATUS	61450
35.13671875	n/a	17991	STATUS	61463
35.50390625	n/a	18179	STATUS	61471
35.779296875	n/a	18320	STATUS	61472
36.51171875	n/a	18695	STATUS	61480
37.51953125	n/a	19211	STATUS	61490
38.5625	n/a	19745	STATUS	61500
39.212890625	n/a	20078	STATUS	61511
39.462890625	n/a	20206	STATUS	61450
40.962890625	n/a	20974	STATUS	61468
41.328125	n/a	21161	STATUS	61471
42.0625	n/a	21537	STATUS	61472
42.337890625	n/a	21678	STATUS	61480
43.345703125	n/a	22194	STATUS	61490
44.4296875	n/a	22749	STATUS	61500
45.162109375	n/a	23124	STATUS	61511
45.412109375	n/a	23252	STATUS	61450
46.912109375	n/a	24020	STATUS	61463
47.279296875	n/a	24208	STATUS	61471
47.5546875	n/a	24349	STATUS	61472
48.287109375	n/a	24724	STATUS	61480
49.296875	n/a	25241	STATUS	61490
50.529296875	n/a	25872	STATUS	61501
51.146484375	n/a	26188	STATUS	61510
51.396484375	n/a	26316	STATUS	61450
52.896484375	n/a	27084	STATUS	61463
53.263671875	n/a	27272	STATUS	61471
53.537109375	n/a	27412	STATUS	61472
54.271484375	n/a	27788	STATUS	61480
55.279296875	n/a	28304	STATUS	61490
56.755859375	n/a	29060	STATUS	61501
57.345703125	n/a	29362	STATUS	61511
57.59765625	n/a	29491	STATUS	61450
59.09765625	n/a	30259	STATUS	61468
59.462890625	n/a	30446	STATUS	61471
60.197265625	n/a	30822	STATUS	61472
60.47265625	n/a	30963	STATUS	61480
61.48046875	n/a	31479	STATUS	61490
62.9140625	n/a	32213	STATUS	61501
63.48828125	n/a	32507	STATUS	61511
63.73828125	n/a	32635	STATUS	61450
65.23828125	n/a	33403	STATUS	61463
65.60546875	n/a	33591	STATUS	61471
65.880859375	n/a	33732	STATUS	61472
66.61328125	n/a	34107	STATUS	61480
67.623046875	n/a	34624	STATUS	61490
69.23828125	n/a	35451	STATUS	61501
69.796875	n/a	35737	STATUS	61511
70.046875	n/a	35865	STATUS	61450
71.546875	n/a	36633	STATUS	61463
71.9140625	n/a	36821	STATUS	61471
72.189453125	n/a	36962	STATUS	61472
72.923828125	n/a	37338	STATUS	61480
73.931640625	n/a	37854	STATUS	61490
75.23046875	n/a	38519	STATUS	61501
75.765625	n/a	38793	STATUS	61510
76.015625	n/a	38921	STATUS	61450
77.515625	n/a	39689	STATUS	61463
77.880859375	n/a	39876	STATUS	61471
78.15625	n/a	40017	STATUS	61472
78.890625	n/a	40393	STATUS	61480
79.8984375	n/a	40909	STATUS	61490
80.82421875	n/a	41383	STATUS	61501
81.939453125	n/a	41954	STATUS	61510
82.189453125	n/a	42082	STATUS	61450
83.689453125	n/a	42850	STATUS	61468
84.056640625	n/a	43038	STATUS	61471
84.791015625	n/a	43414	STATUS	61472
85.06640625	n/a	43555	STATUS	61480
86.07421875	n/a	44071	STATUS	61490
87.140625	n/a	44617	STATUS	61501
87.765625	n/a	44937	STATUS	61511
88.015625	n/a	45065	STATUS	61450
89.515625	n/a	45833	STATUS	61463
89.8828125	n/a	46021	STATUS	61471
90.158203125	n/a	46162	STATUS	61472
90.890625	n/a	46537	STATUS	61480
91.8984375	n/a	47053	STATUS	61490
93.015625	n/a	47625	STATUS	61501
93.6328125	n/a	47941	STATUS	61510
93.8828125	n/a	48069	STATUS	61450
95.3828125	n/a	48837	STATUS	61468
95.75	n/a	49025	STATUS	61471
96.482421875	n/a	49400	STATUS	61472
96.7578125	n/a	49541	STATUS	61480
97.765625	n/a	50057	STATUS	61490
99.25	n/a	50817	STATUS	61501
100.0078125	n/a	51205	STATUS	61511
100.2578125	n/a	51333	STATUS	61450
101.7578125	n/a	52101	STATUS	61468
102.125	n/a	52289	STATUS	61471
102.859375	n/a	52665	STATUS	61472
103.1328125	n/a	52805	STATUS	61480
104.142578125	n/a	53322	STATUS	61490
105.2421875	n/a	53885	STATUS	61501
105.80859375	n/a	54175	STATUS	61511
106.05859375	n/a	54303	STATUS	61450
107.55859375	n/a	55071	STATUS	61468
107.92578125	n/a	55259	STATUS	61471
108.658203125	n/a	55634	STATUS	61472
108.93359375	n/a	55775	STATUS	61480
109.94140625	n/a	56291	STATUS	61490
111.359375	n/a	57017	STATUS	61501
111.841796875	n/a	57264	STATUS	61511
112.091796875	n/a	57392	STATUS	61450
113.591796875	n/a	58160	STATUS	61463
113.958984375	n/a	58348	STATUS	61471
114.234375	n/a	58489	STATUS	61472
114.966796875	n/a	58864	STATUS	61480
115.9765625	n/a	59381	STATUS	61490
117.03515625	n/a	59923	STATUS	61501
117.650390625	n/a	60238	STATUS	61510
117.900390625	n/a	60366	STATUS	61450
119.40234375	n/a	61135	STATUS	61468
119.767578125	n/a	61322	STATUS	61471
120.501953125	n/a	61698	STATUS	61472
120.77734375	n/a	61839	STATUS	61480
121.78515625	n/a	62355	STATUS	61490
122.701171875	n/a	62824	STATUS	61501
123.369140625	n/a	63166	STATUS	61511
123.619140625	n/a	63294	STATUS	61450
125.119140625	n/a	64062	STATUS	61463
125.484375	n/a	64249	STATUS	61471
125.759765625	n/a	64390	STATUS	61472
126.494140625	n/a	64766	STATUS	61480
127.501953125	n/a	65282	STATUS	61490
129.052734375	n/a	66076	STATUS	61510
129.302734375	n/a	66204	STATUS	61450
130.802734375	n/a	66972	STATUS	61463
131.169921875	n/a	67160	STATUS	61471
131.443359375	n/a	67300	STATUS	61472
132.177734375	n/a	67676	STATUS	61480
133.185546875	n/a	68192	STATUS	61490
134.919921875	n/a	69080	STATUS	61500
135.853515625	n/a	69558	STATUS	61511
136.103515625	n/a	69686	STATUS	61450
137.603515625	n/a	70454	STATUS	61463
137.96875	n/a	70641	STATUS	61471
138.244140625	n/a	70782	STATUS	61472
138.978515625	n/a	71158	STATUS	61480
139.986328125	n/a	71674	STATUS	61490
141.611328125	n/a	72506	STATUS	61500
142.419921875	n/a	72920	STATUS	61510
142.669921875	n/a	73048	STATUS	61450
144.169921875	n/a	73816	STATUS	61463
144.537109375	n/a	74004	STATUS	61471
144.8125	n/a	74145	STATUS	61472
145.544921875	n/a	74520	STATUS	61480
146.552734375	n/a	75036	STATUS	61490
147.919921875	n/a	75736	STATUS	61500
148.736328125	n/a	76154	STATUS	61510
148.986328125	n/a	76282	STATUS	61450
150.486328125	n/a	77050	STATUS	61463
150.853515625	n/a	77238	STATUS	61471
151.12890625	n/a	77379	STATUS	61472
151.861328125	n/a	77754	STATUS	61480
152.87109375	n/a	78271	STATUS	61490
154.25390625	n/a	78979	STATUS	61501
154.88671875	n/a	79303	STATUS	61511
155.13671875	n/a	79431	STATUS	61450
156.63671875	n/a	80199	STATUS	61463
157.00390625	n/a	80387	STATUS	61471
157.279296875	n/a	80528	STATUS	61472
158.013671875	n/a	80904	STATUS	61480
159.021484375	n/a	81420	STATUS	61490
160.388671875	n/a	82120	STATUS	61501
162.046875	n/a	82969	STATUS	61511
162.296875	n/a	83097	STATUS	61450
163.796875	n/a	83865	STATUS	61468
164.1640625	n/a	84053	STATUS	61471
164.896484375	n/a	84428	STATUS	61472
165.171875	n/a	84569	STATUS	61480
166.1796875	n/a	85085	STATUS	61490
167.521484375	n/a	85772	STATUS	61500
168.072265625	n/a	86054	STATUS	61511
168.322265625	n/a	86182	STATUS	61450
169.822265625	n/a	86950	STATUS	61468
170.189453125	n/a	87138	STATUS	61471
170.921875	n/a	87513	STATUS	61472
171.197265625	n/a	87654	STATUS	61480
172.205078125	n/a	88170	STATUS	61490
173.28125	n/a	88721	STATUS	61501
173.796875	n/a	88985	STATUS	61511
174.046875	n/a	89113	STATUS	61450
175.546875	n/a	89881	STATUS	61463
175.9140625	n/a	90069	STATUS	61471
176.189453125	n/a	90210	STATUS	61472
176.921875	n/a	90585	STATUS	61480
177.931640625	n/a	91102	STATUS	61490
178.921875	n/a	91609	STATUS	61500
179.806640625	n/a	92062	STATUS	61510
180.056640625	n/a	92190	STATUS	61450
181.556640625	n/a	92958	STATUS	61463
181.923828125	n/a	93146	STATUS	61471
182.197265625	n/a	93286	STATUS	61472
182.931640625	n/a	93662	STATUS	61480
183.939453125	n/a	94178	STATUS	61490
