onset	duration	sample	type	value
0	n/a	1	STATUS	61440
0	n/a	1	Epoch	n/a
0	n/a	1	CM_in_range	n/a
0.0546875	n/a	29	STATUS	61694
1.5546875	n/a	797	STATUS	61450
3.0546875	n/a	1565	STATUS	61468
3.419921875	n/a	1752	STATUS	61471
4.154296875	n/a	2128	STATUS	61472
4.4296875	n/a	2269	STATUS	61480
5.4375	n/a	2785	STATUS	61490
7.103515625	n/a	3638	STATUS	61501
7.603515625	n/a	3894	STATUS	61510
7.853515625	n/a	4022	STATUS	61450
9.35546875	n/a	4791	STATUS	61463
9.720703125	n/a	4978	STATUS	61471
9.99609375	n/a	5119	STATUS	61472
10.73046875	n/a	5495	STATUS	61480
11.73828125	n/a	6011	STATUS	61490
14.013671875	n/a	7176	STATUS	61500
16.779296875	n/a	8592	STATUS	61510
17.029296875	n/a	8720	STATUS	61450
18.529296875	n/a	9488	STATUS	61463
18.896484375	n/a	9676	STATUS	61471
19.171875	n/a	9817	STATUS	61472
19.90625	n/a	10193	STATUS	61480
20.9140625	n/a	10709	STATUS	61490
23.505859375	n/a	12036	STATUS	61501
24.513671875	n/a	12552	STATUS	61510
24.763671875	n/a	12680	STATUS	61450
26.263671875	n/a	13448	STATUS	61463
26.630859375	n/a	13636	STATUS	61471
26.90625	n/a	13777	STATUS	61472
27.638671875	n/a	14152	STATUS	61480
28.6484375	n/a	14669	STATUS	61490
30.314453125	n/a	15522	STATUS	61501
31.33984375	n/a	16047	STATUS	61510
31.58984375	n/a	16175	STATUS	61450
33.08984375	n/a	16943	STATUS	61463
33.45703125	n/a	17131	STATUS	61471
33.73046875	n/a	17271	STATUS	61472
34.46484375	n/a	17647	STATUS	61480
35.47265625	n/a	18163	STATUS	61490
37.564453125	n/a	19234	STATUS	61501
38.490234375	n/a	19708	STATUS	61510
38.740234375	n/a	19836	STATUS	61450
40.240234375	n/a	20604	STATUS	61468
40.607421875	n/a	20792	STATUS	61471
41.33984375	n/a	21167	STATUS	61472
41.615234375	n/a	21308	STATUS	61480
42.623046875	n/a	21824	STATUS	61490
44.998046875	n/a	23040	STATUS	61501
45.890625	n/a	23497	STATUS	61511
46.140625	n/a	23625	STATUS	61450
47.640625	n/a	24393	STATUS	61463
48.0078125	n/a	24581	STATUS	61471
48.283203125	n/a	24722	STATUS	61472
49.015625	n/a	25097	STATUS	61480
50.0234375	n/a	25613	STATUS	61490
52.240234375	n/a	26748	STATUS	61501
53.033203125	n/a	27154	STATUS	61511
53.283203125	n/a	27282	STATUS	61450
54.783203125	n/a	28050	STATUS	61463
55.150390625	n/a	28238	STATUS	61471
55.423828125	n/a	28378	STATUS	61472
56.158203125	n/a	28754	STATUS	61480
57.166015625	n/a	29270	STATUS	61490
59.224609375	n/a	30324	STATUS	61501
60.234375	n/a	30841	STATUS	61511
60.484375	n/a	30969	STATUS	61450
61.984375	n/a	31737	STATUS	61463
62.349609375	n/a	31924	STATUS	61471
62.625	n/a	32065	STATUS	61472
63.359375	n/a	32441	STATUS	61480
64.3671875	n/a	32957	STATUS	61490
66.216796875	n/a	33904	STATUS	61501
67.2265625	n/a	34421	STATUS	61510
67.4765625	n/a	34549	STATUS	61450
68.9765625	n/a	35317	STATUS	61468
69.341796875	n/a	35504	STATUS	61471
70.076171875	n/a	35880	STATUS	61472
70.3515625	n/a	36021	STATUS	61480
71.359375	n/a	36537	STATUS	61490
73.04296875	n/a	37399	STATUS	61500
73.833984375	n/a	37804	STATUS	61511
74.083984375	n/a	37932	STATUS	61450
75.583984375	n/a	38700	STATUS	61468
75.951171875	n/a	38888	STATUS	61471
76.685546875	n/a	39264	STATUS	61472
76.958984375	n/a	39404	STATUS	61480
77.96875	n/a	39921	STATUS	61490
80.16015625	n/a	41043	STATUS	61500
80.859375	n/a	41401	STATUS	61511
81.109375	n/a	41529	STATUS	61450
82.609375	n/a	42297	STATUS	61463
82.9765625	n/a	42485	STATUS	61471
83.251953125	n/a	42626	STATUS	61472
83.984375	n/a	43001	STATUS	61480
84.994140625	n/a	43518	STATUS	61490
86.77734375	n/a	44431	STATUS	61500
88.626953125	n/a	45378	STATUS	61510
88.876953125	n/a	45506	STATUS	61450
90.376953125	n/a	46274	STATUS	61463
90.744140625	n/a	46462	STATUS	61471
91.01953125	n/a	46603	STATUS	61472
91.751953125	n/a	46978	STATUS	61480
92.76171875	n/a	47495	STATUS	61490
94.453125	n/a	48361	STATUS	61501
95.494140625	n/a	48894	STATUS	61510
95.744140625	n/a	49022	STATUS	61450
97.244140625	n/a	49790	STATUS	61463
97.611328125	n/a	49978	STATUS	61471
97.88671875	n/a	50119	STATUS	61472
98.619140625	n/a	50494	STATUS	61480
99.62890625	n/a	51011	STATUS	61490
101.1953125	n/a	51813	STATUS	61501
102.095703125	n/a	52274	STATUS	61510
102.345703125	n/a	52402	STATUS	61450
103.845703125	n/a	53170	STATUS	61463
104.2109375	n/a	53357	STATUS	61471
104.486328125	n/a	53498	STATUS	61472
105.220703125	n/a	53874	STATUS	61480
106.228515625	n/a	54390	STATUS	61490
108.0703125	n/a	55333	STATUS	61501
108.828125	n/a	55721	STATUS	61510
109.078125	n/a	55849	STATUS	61450
110.578125	n/a	56617	STATUS	61468
110.9453125	n/a	56805	STATUS	61471
111.6796875	n/a	57181	STATUS	61472
111.955078125	n/a	57322	STATUS	61480
112.962890625	n/a	57838	STATUS	61490
114.646484375	n/a	58700	STATUS	61500
115.654296875	n/a	59216	STATUS	61511
115.904296875	n/a	59344	STATUS	61450
117.404296875	n/a	60112	STATUS	61468
117.771484375	n/a	60300	STATUS	61471
118.50390625	n/a	60675	STATUS	61472
118.779296875	n/a	60816	STATUS	61480
119.787109375	n/a	61332	STATUS	61490
121.74609375	n/a	62335	STATUS	61500
122.5625	n/a	62753	STATUS	61511
122.8125	n/a	62881	STATUS	61450
124.3125	n/a	63649	STATUS	61463
124.6796875	n/a	63837	STATUS	61471
124.955078125	n/a	63978	STATUS	61472
125.689453125	n/a	64354	STATUS	61480
126.697265625	n/a	64870	STATUS	61490
128.2890625	n/a	65685	STATUS	61501
128.962890625	n/a	66030	STATUS	61510
129.212890625	n/a	66158	STATUS	61450
130.71484375	n/a	66927	STATUS	61468
131.080078125	n/a	67114	STATUS	61471
131.814453125	n/a	67490	STATUS	61472
132.08984375	n/a	67631	STATUS	61480
133.09765625	n/a	68147	STATUS	61490
134.90625	n/a	69073	STATUS	61500
135.6640625	n/a	69461	STATUS	61511
135.9140625	n/a	69589	STATUS	61450
137.4140625	n/a	70357	STATUS	61463
137.78125	n/a	70545	STATUS	61471
138.056640625	n/a	70686	STATUS	61472
138.7890625	n/a	71061	STATUS	61480
139.798828125	n/a	71578	STATUS	61490
141.806640625	n/a	72606	STATUS	61500
142.623046875	n/a	73024	STATUS	61510
142.873046875	n/a	73152	STATUS	61450
144.373046875	n/a	73920	STATUS	61468
144.740234375	n/a	74108	STATUS	61471
145.47265625	n/a	74483	STATUS	61472
145.748046875	n/a	74624	STATUS	61480
146.755859375	n/a	75140	STATUS	61490
148.40625	n/a	75985	STATUS	61501
149.173828125	n/a	76378	STATUS	61511
149.423828125	n/a	76506	STATUS	61450
150.923828125	n/a	77274	STATUS	61463
151.291015625	n/a	77462	STATUS	61471
151.56640625	n/a	77603	STATUS	61472
152.298828125	n/a	77978	STATUS	61480
153.306640625	n/a	78494	STATUS	61490
154.96484375	n/a	79343	STATUS	61501
155.640625	n/a	79689	STATUS	61511
155.890625	n/a	79817	STATUS	61450
157.390625	n/a	80585	STATUS	61468
157.7578125	n/a	80773	STATUS	61471
158.490234375	n/a	81148	STATUS	61472
158.765625	n/a	81289	STATUS	61480
159.775390625	n/a	81806	STATUS	61490
161.033203125	n/a	82450	STATUS	61501
162.1171875	n/a	83005	STATUS	61511
162.3671875	n/a	83133	STATUS	61450
163.8671875	n/a	83901	STATUS	61463
164.232421875	n/a	84088	STATUS	61471
164.5078125	n/a	84229	STATUS	61472
165.2421875	n/a	84605	STATUS	61480
166.25	n/a	85121	STATUS	61490
168.099609375	n/a	86068	STATUS	61501
169.033203125	n/a	86546	STATUS	61510
169.283203125	n/a	86674	STATUS	61450
170.783203125	n/a	87442	STATUS	61468
171.150390625	n/a	87630	STATUS	61471
171.8828125	n/a	88005	STATUS	61472
172.158203125	n/a	88146	STATUS	61480
173.16796875	n/a	88663	STATUS	61490
174.859375	n/a	89529	STATUS	61501
175.826171875	n/a	90024	STATUS	61511
176.076171875	n/a	90152	STATUS	61450
177.576171875	n/a	90920	STATUS	61463
177.943359375	n/a	91108	STATUS	61471
178.216796875	n/a	91248	STATUS	61472
178.951171875	n/a	91624	STATUS	61480
179.958984375	n/a	92140	STATUS	61490
181.642578125	n/a	93002	STATUS	61500
182.451171875	n/a	93416	STATUS	61510
182.701171875	n/a	93544	STATUS	61450
184.201171875	n/a	94312	STATUS	61468
184.568359375	n/a	94500	STATUS	61471
185.30078125	n/a	94875	STATUS	61472
185.576171875	n/a	95016	STATUS	61480
186.583984375	n/a	95532	STATUS	61490
188.251953125	n/a	96386	STATUS	61500
189.193359375	n/a	96868	STATUS	61511
189.443359375	n/a	96996	STATUS	61450
190.943359375	n/a	97764	STATUS	61463
191.310546875	n/a	97952	STATUS	61471
191.5859375	n/a	98093	STATUS	61472
192.318359375	n/a	98468	STATUS	61480
193.326171875	n/a	98984	STATUS	61490
195.060546875	n/a	99872	STATUS	61501
195.818359375	n/a	100260	STATUS	61510
196.068359375	n/a	100388	STATUS	61450
197.568359375	n/a	101156	STATUS	61463
197.935546875	n/a	101344	STATUS	61471
198.2109375	n/a	101485	STATUS	61472
198.943359375	n/a	101860	STATUS	61480
199.953125	n/a	102377	STATUS	61490
201.501953125	n/a	103170	STATUS	61501
202.251953125	n/a	103554	STATUS	61510
202.501953125	n/a	103682	STATUS	61450
204.001953125	n/a	104450	STATUS	61463
204.369140625	n/a	104638	STATUS	61471
204.64453125	n/a	104779	STATUS	61472
