onset	duration	sample	type	value
0	n/a	1	STATUS	61440
0	n/a	1	Epoch	n/a
0	n/a	1	CM_in_range	n/a
90.796875	n/a	46489	STATUS	61694
92.296875	n/a	47257	STATUS	61450
93.796875	n/a	48025	STATUS	61463
94.162109375	n/a	48212	STATUS	61471
94.4375	n/a	48353	STATUS	61472
95.171875	n/a	48729	STATUS	61480
96.1796875	n/a	49245	STATUS	61490
97.771484375	n/a	50060	STATUS	61500
98.6796875	n/a	50525	STATUS	61511
98.9296875	n/a	50653	STATUS	61450
100.4296875	n/a	51421	STATUS	61463
100.796875	n/a	51609	STATUS	61471
101.072265625	n/a	51750	STATUS	61472
101.8046875	n/a	52125	STATUS	61480
102.814453125	n/a	52642	STATUS	61490
104.23828125	n/a	53371	STATUS	61501
104.814453125	n/a	53666	STATUS	61510
105.064453125	n/a	53794	STATUS	61450
106.564453125	n/a	54562	STATUS	61468
106.931640625	n/a	54750	STATUS	61471
107.6640625	n/a	55125	STATUS	61472
107.939453125	n/a	55266	STATUS	61480
108.947265625	n/a	55782	STATUS	61490
110.330078125	n/a	56490	STATUS	61501
110.85546875	n/a	56759	STATUS	61511
111.10546875	n/a	56887	STATUS	61450
112.60546875	n/a	57655	STATUS	61463
112.97265625	n/a	57843	STATUS	61471
113.248046875	n/a	57984	STATUS	61472
113.98046875	n/a	58359	STATUS	61480
114.990234375	n/a	58876	STATUS	61490
116.35546875	n/a	59575	STATUS	61501
116.939453125	n/a	59874	STATUS	61510
117.189453125	n/a	60002	STATUS	61450
118.689453125	n/a	60770	STATUS	61468
119.056640625	n/a	60958	STATUS	61471
119.7890625	n/a	61333	STATUS	61472
120.064453125	n/a	61474	STATUS	61480
121.07421875	n/a	61991	STATUS	61490
122.2578125	n/a	62597	STATUS	61501
122.939453125	n/a	62946	STATUS	61510
123.189453125	n/a	63074	STATUS	61450
124.689453125	n/a	63842	STATUS	61463
125.056640625	n/a	64030	STATUS	61471
125.33203125	n/a	64171	STATUS	61472
126.06640625	n/a	64547	STATUS	61480
127.07421875	n/a	65063	STATUS	61490
128.33984375	n/a	65711	STATUS	61500
128.974609375	n/a	66036	STATUS	61510
129.224609375	n/a	66164	STATUS	61450
130.724609375	n/a	66932	STATUS	61463
131.091796875	n/a	67120	STATUS	61471
131.365234375	n/a	67260	STATUS	61472
132.099609375	n/a	67636	STATUS	61480
133.107421875	n/a	68152	STATUS	61490
134.44140625	n/a	68835	STATUS	61501
135.05859375	n/a	69151	STATUS	61510
135.30859375	n/a	69279	STATUS	61450
136.80859375	n/a	70047	STATUS	61463
137.173828125	n/a	70234	STATUS	61471
137.44921875	n/a	70375	STATUS	61472
138.18359375	n/a	70751	STATUS	61480
139.19140625	n/a	71267	STATUS	61490
140.466796875	n/a	71920	STATUS	61500
141.091796875	n/a	72240	STATUS	61510
141.341796875	n/a	72368	STATUS	61450
142.841796875	n/a	73136	STATUS	61463
143.208984375	n/a	73324	STATUS	61471
143.484375	n/a	73465	STATUS	61472
144.216796875	n/a	73840	STATUS	61480
145.224609375	n/a	74356	STATUS	61490
146.2578125	n/a	74885	STATUS	61501
146.80859375	n/a	75167	STATUS	61511
147.05859375	n/a	75295	STATUS	61450
148.55859375	n/a	76063	STATUS	61463
148.92578125	n/a	76251	STATUS	61471
149.201171875	n/a	76392	STATUS	61472
149.93359375	n/a	76767	STATUS	61480
150.943359375	n/a	77284	STATUS	61490
152.109375	n/a	77881	STATUS	61501
152.67578125	n/a	78171	STATUS	61510
152.92578125	n/a	78299	STATUS	61450
154.42578125	n/a	79067	STATUS	61468
154.79296875	n/a	79255	STATUS	61471
155.525390625	n/a	79630	STATUS	61472
155.80078125	n/a	79771	STATUS	61480
156.80859375	n/a	80287	STATUS	61490
157.91796875	n/a	80855	STATUS	61501
158.3671875	n/a	81085	STATUS	61511
158.6171875	n/a	81213	STATUS	61450
160.1171875	n/a	81981	STATUS	61463
160.484375	n/a	82169	STATUS	61471
160.759765625	n/a	82310	STATUS	61472
161.494140625	n/a	82686	STATUS	61480
162.501953125	n/a	83202	STATUS	61490
163.55078125	n/a	83739	STATUS	61501
164.126953125	n/a	84034	STATUS	61511
164.376953125	n/a	84162	STATUS	61450
165.876953125	n/a	84930	STATUS	61468
166.244140625	n/a	85118	STATUS	61471
166.9765625	n/a	85493	STATUS	61472
167.251953125	n/a	85634	STATUS	61480
168.259765625	n/a	86150	STATUS	61490
169.5859375	n/a	86829	STATUS	61500
170.068359375	n/a	87076	STATUS	61511
170.318359375	n/a	87204	STATUS	61450
171.818359375	n/a	87972	STATUS	61468
172.185546875	n/a	88160	STATUS	61471
172.919921875	n/a	88536	STATUS	61472
173.193359375	n/a	88676	STATUS	61480
174.203125	n/a	89193	STATUS	61490
175.41015625	n/a	89811	STATUS	61501
175.88671875	n/a	90055	STATUS	61511
176.13671875	n/a	90183	STATUS	61450
177.63671875	n/a	90951	STATUS	61463
178.001953125	n/a	91138	STATUS	61471
178.27734375	n/a	91279	STATUS	61472
179.01171875	n/a	91655	STATUS	61480
180.01953125	n/a	92171	STATUS	61490
180.994140625	n/a	92670	STATUS	61501
181.703125	n/a	93033	STATUS	61511
181.953125	n/a	93161	STATUS	61450
183.453125	n/a	93929	STATUS	61463
183.8203125	n/a	94117	STATUS	61471
184.095703125	n/a	94258	STATUS	61472
184.828125	n/a	94633	STATUS	61480
185.8359375	n/a	95149	STATUS	61490
186.9375	n/a	95713	STATUS	61501
187.49609375	n/a	95999	STATUS	61510
187.74609375	n/a	96127	STATUS	61450
189.24609375	n/a	96895	STATUS	61468
189.611328125	n/a	97082	STATUS	61471
190.345703125	n/a	97458	STATUS	61472
190.62109375	n/a	97599	STATUS	61480
191.62890625	n/a	98115	STATUS	61490
192.669921875	n/a	98648	STATUS	61500
193.162109375	n/a	98900	STATUS	61511
193.412109375	n/a	99028	STATUS	61450
194.912109375	n/a	99796	STATUS	61463
195.279296875	n/a	99984	STATUS	61471
195.5546875	n/a	100125	STATUS	61472
196.287109375	n/a	100500	STATUS	61480
197.296875	n/a	101017	STATUS	61490
198.513671875	n/a	101640	STATUS	61500
199.046875	n/a	101913	STATUS	61511
199.296875	n/a	102041	STATUS	61450
200.796875	n/a	102809	STATUS	61468
201.162109375	n/a	102996	STATUS	61471
201.896484375	n/a	103372	STATUS	61472
202.171875	n/a	103513	STATUS	61480
203.1796875	n/a	104029	STATUS	61490
204.396484375	n/a	104652	STATUS	61500
205.080078125	n/a	105002	STATUS	61510
205.330078125	n/a	105130	STATUS	61450
206.830078125	n/a	105898	STATUS	61468
207.197265625	n/a	106086	STATUS	61471
207.9296875	n/a	106461	STATUS	61472
208.205078125	n/a	106602	STATUS	61480
209.212890625	n/a	107118	STATUS	61490
210.255859375	n/a	107652	STATUS	61501
210.830078125	n/a	107946	STATUS	61511
211.080078125	n/a	108074	STATUS	61450
212.580078125	n/a	108842	STATUS	61463
212.947265625	n/a	109030	STATUS	61471
213.22265625	n/a	109171	STATUS	61472
213.955078125	n/a	109546	STATUS	61480
214.96484375	n/a	110063	STATUS	61490
216.03125	n/a	110609	STATUS	61501
216.681640625	n/a	110942	STATUS	61510
216.931640625	n/a	111070	STATUS	61450
218.431640625	n/a	111838	STATUS	61468
218.796875	n/a	112025	STATUS	61471
219.53125	n/a	112401	STATUS	61472
219.806640625	n/a	112542	STATUS	61480
220.814453125	n/a	113058	STATUS	61490
221.947265625	n/a	113638	STATUS	61500
223.09765625	n/a	114227	STATUS	61511
223.34765625	n/a	114355	STATUS	61450
224.84765625	n/a	115123	STATUS	61468
225.21484375	n/a	115311	STATUS	61471
225.947265625	n/a	115686	STATUS	61472
226.22265625	n/a	115827	STATUS	61480
227.232421875	n/a	116344	STATUS	61490
228.57421875	n/a	117031	STATUS	61501
229.22265625	n/a	117363	STATUS	61511
229.47265625	n/a	117491	STATUS	61450
230.97265625	n/a	118259	STATUS	61463
231.33984375	n/a	118447	STATUS	61471
231.615234375	n/a	118588	STATUS	61472
232.349609375	n/a	118964	STATUS	61480
233.357421875	n/a	119480	STATUS	61490
234.65625	n/a	120145	STATUS	61501
236.041015625	n/a	120854	STATUS	61511
236.291015625	n/a	120982	STATUS	61450
237.791015625	n/a	121750	STATUS	61463
238.158203125	n/a	121938	STATUS	61471
238.431640625	n/a	122078	STATUS	61472
239.166015625	n/a	122454	STATUS	61480
240.173828125	n/a	122970	STATUS	61490
241.283203125	n/a	123538	STATUS	61501
242.041015625	n/a	123926	STATUS	61510
242.291015625	n/a	124054	STATUS	61450
243.791015625	n/a	124822	STATUS	61463
244.158203125	n/a	125010	STATUS	61471
244.43359375	n/a	125151	STATUS	61472
245.166015625	n/a	125526	STATUS	61480
246.173828125	n/a	126042	STATUS	61490
247.3671875	n/a	126653	STATUS	61501
248	n/a	126977	STATUS	61510
248.25	n/a	127105	STATUS	61450
249.75	n/a	127873	STATUS	61463
250.1171875	n/a	128061	STATUS	61471
250.392578125	n/a	128202	STATUS	61472
251.125	n/a	128577	STATUS	61480
252.1328125	n/a	129093	STATUS	61490
253.1328125	n/a	129605	STATUS	61501
253.6328125	n/a	129861	STATUS	61511
253.8828125	n/a	129989	STATUS	61450
255.3828125	n/a	130757	STATUS	61463
255.75	n/a	130945	STATUS	61471
256.025390625	n/a	131086	STATUS	61472
256.759765625	n/a	131462	STATUS	61480
257.767578125	n/a	131978	STATUS	61490
258.759765625	n/a	132486	STATUS	61501
259.517578125	n/a	132874	STATUS	61510
259.767578125	n/a	133002	STATUS	61450
261.267578125	n/a	133770	STATUS	61463
261.634765625	n/a	133958	STATUS	61471
261.91015625	n/a	134099	STATUS	61472
262.642578125	n/a	134474	STATUS	61480
263.650390625	n/a	134990	STATUS	61490
264.8515625	n/a	135605	STATUS	61501
265.4921875	n/a	135933	STATUS	61511
265.7421875	n/a	136061	STATUS	61450
267.2421875	n/a	136829	STATUS	61463
267.609375	n/a	137017	STATUS	61471
267.884765625	n/a	137158	STATUS	61472
